center,left,right,steering,throttle,brake,speed
C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2017_11_30_12_44_09_568.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2017_11_30_12_44_09_568.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2017_11_30_12_44_09_568.jpg,0,0.3650027,0,0.5835988
C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2017_11_30_12_44_09_645.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2017_11_30_12_44_09_645.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2017_11_30_12_44_09_645.jpg,-0.05,0.2447372,0,0.8697777
C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2017_11_30_12_44_09_723.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2017_11_30_12_44_09_723.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2017_11_30_12_44_09_723.jpg,-0.25,0.01501984,0,0.9782482
C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2017_11_30_12_44_09_797.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2017_11_30_12_44_09_797.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2017_11_30_12_44_09_797.jpg,-0.3724977,0,0,0.974762
C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2017_11_30_12_44_09_876.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2017_11_30_12_44_09_876.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2017_11_30_12_44_09_876.jpg,-0.09096174,0.04578015,0,0.9816335
C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2017_11_30_12_44_09_951.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2017_11_30_12_44_09_951.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2017_11_30_12_44_09_951.jpg,0,0.2709677,0,1.135646
C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2017_11_30_12_44_10_029.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2017_11_30_12_44_10_029.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2017_11_30_12_44_10_029.jpg,0,0.5013748,0,1.521692
C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2017_11_30_12_44_10_108.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2017_11_30_12_44_10_108.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2017_11_30_12_44_10_108.jpg,-0.15,0.5518116,0,2.082511
C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2017_11_30_12_44_10_186.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2017_11_30_12_44_10_186.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2017_11_30_12_44_10_186.jpg,-0.35,0.3124753,0,2.45023
C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\center_2017_11_30_12_44_10_262.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\left_2017_11_30_12_44_10_262.jpg,C:\Users\monst\Desktop\Self_Study\Self_Driving\ML\proj3\CarND-Behavioral-Cloning-P3-master\data\IMG\right_2017_11_30_12_44_10_262.jpg,-0.3269286,0.0828172,0,2.545521
